  1  2  3  4  5  6  7  8  9 10 11 12
  2  1  4  3  6  5  7  8 10  9 11 12
  3  4  1  2  5  6  8  7  9 10 11 12
  4  3  2  1  6  5  8  7 10  9 11 12
 52  2  5
  1  2  3  4  5
  2  1  3  4  5
 53  4  9
  1  2  3  4  5  6  7  8  9
  2  1  4  3  5  6  7  8  9
  4  3  2  1  6  5  7  8  9
  3  4  1  2  6  5  7  8  9
 54  2  6
  1  2  3  4  5  6
  2  1  3  5  4  6
 55  4  9
  1  2  3  4  5  6  7  8  9
  3  4  1  2  6  5  7  8  9
  2  1  4  3  5  6  8  7  9
  4  3  2  1  6  5  8  7  9
 56  4  5
  1  2  3  4  5
  2  1  4  3  5
  2  1  3  4  5
  1  2  4  3  5
 57  2  5
  1  2  3  4  5
  2  1  3  4  5
 58  8  8
  1  2  3  4  5  6  7  8
  4  3  2  1  6  5  7  8
  3  4  1  2  6  5  7  8
  2  1  4  3  5  6  7  8
  1  2  4  3  5  6  7  8
  4  3  1  2  6  5  7  8
  3  4  2  1  6  5  7  8
  2  1  3  4  5  6  7  8
 59  8  7
  1  2  3  4  5  6  7
  2  1  3  4  5  6  7
  1  2  4  3  5  6  7
  2  1  4  3  5  6  7
  1  2  3  4  6  5  7
  2  1  3  4  6  5  7
  1  2  4  3  6  5  7
  2  1  4  3  6  5  7
 60  2  4
  1  2  3  4
  2  1  3  4
 61  2  3
  1  2  3
  2  1  3
 62  2  4
  1  2  3  4
  2  1  3  4
 63  2  8
  1  2  3  4  5  6  7  8
  2  1  3  4  5  6  7  8
 64  2  7
  1  2  3  4  5  6  7
  2  1  3  4  5  6  7
 65  8 18
  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18
  2  1  4  3  5  6  7  8  9 10 12 11 13 14 15 16 17 18
  4  3  2  1  6  5  8  7 10  9 11 12 13 14 15 17 16 18
  3  4  1  2  6  5  8  7 10  9 12 11 13 14 15 17 16 18
  1  2  3  4  5  6  9 10  7  8 11 12 13 15 14 16 17 18
  2  1  4  3  5  6  9 10  7  8 12 11 13 15 14 16 17 18
  4  3  2  1  6  5 10  9  8  7 11 12 13 15 14 17 16 18
  3  4  1  2  6  5 10  9  8  7 12 11 13 15 14 17 16 18
 66  8 13
  1  2  3  4  5  6  7  8  9 10 11 12 13
  2  1  4  3  6  5  7  8 10  9 11 12 13
  1  2  3  4  6  5  7  8  9 10 11 12 13
  2  1  4  3  5  6  7  8 10  9 11 12 13
  1  2  3  4  5  6  8  7  9 10 11 12 13
  2  1  4  3  6  5  8  7 10  9 11 12 13
